"","PRAD","THCA","KICH","BRCA","KIRP","KIRC","READ","COAD","BLCA","STAD","PCPG","UCEC","LUAD","HNSC","CESC","GBM","ESCA","LUSC","LIHC","CHOL"
"NRBP2",0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"OBSCN",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"PAK3",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"PDXK",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
"PFKFB2",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
"PHKG2",0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"PIK3CG",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
"PIP4K2C",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
"PRKD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
"RIOK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"ROR1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"RPS6KA4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
"SPEG",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
"STK10",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"STK35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
"STK36",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
"SYK",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
"TNIK",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TRIB2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
"TRIO",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
"UCKL1",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"UHMK1",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
"VRK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
"ACVR1",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"ACVR1C",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"ACVR2B",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"ACVRL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"ADCK2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"ADK",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"AK4",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"AK8",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"AKT3",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"CAMK2G",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"CDK10",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"CDK12",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
"CDK14",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"CDK15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"CDK7",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"CHKA",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"CKB",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"CSNK1G1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"CSNK2A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"CSNK2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"DAPK2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"DCK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"DYRK1B",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"DYRK2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"EIF2AK1",0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"EIF2AK2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
"EPHB1",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"EPHB6",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"FASTK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"FGR",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"FLT1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"FN3KRP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"FRK",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
"GK",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"GK3P",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"GLYCTK",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"GRK1",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"HK1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"IKBKG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"ITK",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"KSR1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"LIMK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"LMTK2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
"LRRK1",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"LRRK2",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LTK",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"MAP3K14",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"MAP3K19",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MAP3K6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"MAP4K2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
"MAPK6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"MARK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"MARK4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"MAST2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"MAST3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"MLKL",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"MYLK4",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
"NEK11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"NEK3",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
"NEK6",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"NME4",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
"PAK2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
"PAK4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"PAN3",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"PIK3CD",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
"PKLR",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"PKN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"PLK3",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"PRKAA2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"PRKD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
